timestamps,TP9,AF7,AF8,TP10,Right AUX
1864.967,595.215,159.668,32.227,44.922,-95.215
1864.971,310.059,37.598,20.02,32.227,-159.18
1864.975,-118.652,-143.555,16.113,13.184,-79.59
1864.979,96.191,-51.758,21.973,11.719,-63.477
1864.983,556.641,123.047,30.273,42.48,-140.137
1864.987,419.434,-5.371,21.484,37.109,-190.918
1864.991,-58.594,-306.152,5.371,5.859,95.703
1864.995,-51.27,-250.488,9.277,1.953,375
1864.999,433.105,207.031,27.344,25.391,-40.527
1865.002,505.859,217.773,27.832,35.645,-189.941
1865.006,-22.949,-19.531,21.484,1.953,-55.176
1865.01,-204.102,74.219,25.879,-19.043,-104.004
1865.014,273.438,236.816,31.25,22.949,-154.785
1865.018,530.273,134.766,30.273,57.129,-80.566
1865.022,85.938,20.02,27.832,29.297,-98.633
1865.025,-247.559,75.684,24.902,-8.789,-216.309
1865.029,93.262,173.34,33.691,33.691,-184.57
1865.033,465.82,78.125,36.621,88.867,225.098
1865.037,187.5,-72.754,27.832,52.734,390.625
1865.041,-247.07,130.371,33.691,24.902,-8.301
1865.045,-90.332,200.684,31.25,27.832,-158.203
1865.049,342.773,26.367,21.484,39.062,152.832
1865.053,277.832,41.504,19.531,48.34,343.262
1865.057,-157.227,249.023,28.809,32.227,3.418
1865.072,-237.305,168.457,31.25,11.23,-195.801
1865.076,192.383,152.344,34.18,20.508,-92.773
1865.08,367.188,147.461,30.273,38.574,32.227
1865.084,-70.801,96.191,23.926,18.555,-5.371
1865.088,-307.129,157.227,28.809,-2.93,-189.453
1865.092,88.867,-93.75,27.344,37.109,143.555
1865.096,418.945,-108.398,25.879,68.848,471.191
1865.1,80.078,243.164,24.414,20.02,44.434
1865.104,-312.5,125.977,19.043,-13.672,-194.336
1865.107,-25.391,45.41,21.973,-2.93,-32.715
1865.111,395.996,230.957,28.32,39.062,57.617
1865.115,178.711,197.266,28.809,41.992,-45.898
1865.105,-231.445,32.227,19.043,-3.418,-109.375
1865.109,-118.652,-10.254,17.578,9.766,-72.754
1865.113,360.352,172.363,38.086,75.195,-184.082
1865.117,356.445,194.824,38.574,70.312,-276.367
1865.121,-123.047,0,27.832,14.648,-240.723
1865.125,-207.52,-90.332,24.902,-14.648,-153.809
1865.129,253.418,44.922,26.855,17.09,-107.422
1865.133,446.777,180.664,29.297,31.25,-207.52
1865.137,8.301,-63.965,21.484,8.789,-116.699
1865.14,-265.137,-219.238,19.043,8.789,153.32
1865.144,96.191,160.645,29.785,9.277,-70.312
1865.148,416.504,225.098,30.762,24.902,-226.074
1865.163,109.375,1.465,29.297,3.418,-191.895
1865.166,-277.344,-73.242,26.367,-13.672,-137.695
1865.17,-39.551,8.789,20.996,9.277,-47.363
1865.174,432.617,163.574,24.414,25.879,-146.973
1865.178,289.062,-81.543,11.23,20.508,74.707
1865.182,-162.109,-253.906,11.23,8.301,366.211
1865.186,-128.906,123.535,30.762,-3.418,117.676
1865.19,302.246,192.871,34.668,8.301,-40.039
1865.194,330.078,91.797,30.273,4.395,-59.082
1865.198,-114.746,90.82,24.414,-21.973,-145.996
1865.202,-252.93,116.211,17.578,-39.062,-223.145
1865.206,126.953,72.754,14.16,0.488,-160.645
1865.207,290.039,-15.625,16.602,25.391,162.598
1865.211,-91.309,137.695,15.625,-18.555,180.664
1865.215,-387.695,204.102,5.859,-65.43,-97.656
1865.219,-126.953,30.762,4.883,-36.621,38.086
1865.223,270.508,34.668,12.695,1.465,141.602
1865.227,42.48,48.34,14.16,-26.855,48.828
1865.23,-379.883,-16.602,10.254,-54.688,-13.672
1865.234,-219.727,-113.281,-1.465,-68.848,0.977
1865.238,250.977,-171.875,0.977,-24.414,265.625
1865.242,193.359,168.945,11.23,-20.996,142.578
1865.246,-267.578,205.078,7.324,-73.242,-116.699
1865.25,-288.574,5.371,3.418,-68.848,-131.348
1865.252,183.105,84.473,4.395,-24.414,-191.895
1865.256,316.895,174.805,6.836,-20.02,-225.586
1865.26,-115.723,19.043,0.488,-42.48,-146.484
1865.264,-315.918,-191.895,-3.418,-27.832,8.789
1865.268,83.008,-10.254,3.418,21.484,43.457
1865.272,367.188,144.043,2.441,23.438,-37.598
